weekid,adultstandards,albumrock,brillbuildingpop,bubblegumpop,classicrock,contemporarycountry,country,countryroad,dancepop,disco,folkrock,funk,hiphop,hippop,mellowgold,motown,newwavepop,pop,poprap,poprock,post,quietstorm,rap,rock,softrock,soul,urbancontemporary
2016-03-05,0.0,0.0,0.0,0.0,0.0,0.22988505747126436,0.14942528735632185,0.1724137931034483,0.3218390804597701,0.0,0.0,0.0,0.10344827586206896,0.011494252873563218,0.0,0.0,0.0,0.5517241379310345,0.25287356321839083,0.022988505747126436,0.2988505747126437,0.0,0.22988505747126436,0.011494252873563218,0.0,0.0,0.04597701149425287
2016-03-12,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.16470588235294117,0.18823529411764706,0.32941176470588235,0.0,0.0,0.0,0.11764705882352941,0.023529411764705882,0.0,0.0,0.0,0.5647058823529412,0.27058823529411763,0.023529411764705882,0.29411764705882354,0.0,0.24705882352941178,0.011764705882352941,0.0,0.0,0.047058823529411764
2016-03-19,0.0,0.0,0.0,0.0,0.0,0.21348314606741572,0.16853932584269662,0.1797752808988764,0.30337078651685395,0.0,0.0,0.0,0.1348314606741573,0.011235955056179775,0.0,0.0,0.0,0.5393258426966292,0.30337078651685395,0.011235955056179775,0.2696629213483146,0.0,0.2696629213483146,0.011235955056179775,0.0,0.0,0.0449438202247191
2016-03-26,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.18823529411764706,0.2,0.3058823529411765,0.0,0.0,0.0,0.12941176470588237,0.011764705882352941,0.0,0.0,0.0,0.5411764705882353,0.29411764705882354,0.023529411764705882,0.2823529411764706,0.0,0.24705882352941178,0.011764705882352941,0.0,0.0,0.047058823529411764
2016-04-02,0.0,0.0,0.0,0.0,0.0,0.23595505617977527,0.19101123595505617,0.20224719101123595,0.3146067415730337,0.0,0.0,0.0,0.11235955056179775,0.02247191011235955,0.0,0.0,0.0,0.5617977528089888,0.25842696629213485,0.02247191011235955,0.30337078651685395,0.0,0.2247191011235955,0.011235955056179775,0.0,0.0,0.033707865168539325
2016-04-09,0.0,0.0,0.0,0.0,0.0,0.20652173913043478,0.16304347826086957,0.17391304347826086,0.358695652173913,0.0,0.0,0.0,0.10869565217391304,0.03260869565217391,0.0,0.0,0.0,0.5869565217391305,0.25,0.03260869565217391,0.32608695652173914,0.0,0.21739130434782608,0.021739130434782608,0.0,0.0,0.03260869565217391
2016-04-16,0.0,0.0,0.0,0.0,0.0,0.21176470588235294,0.16470588235294117,0.17647058823529413,0.36470588235294116,0.0,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.5647058823529412,0.2823529411764706,0.03529411764705882,0.3176470588235294,0.0,0.2235294117647059,0.023529411764705882,0.0,0.0,0.03529411764705882
2016-04-23,0.0,0.0,0.0,0.0,0.0,0.24358974358974358,0.19230769230769232,0.20512820512820512,0.3333333333333333,0.0,0.0,0.0,0.1282051282051282,0.05128205128205128,0.0,0.0,0.0,0.5256410256410257,0.2948717948717949,0.02564102564102564,0.2692307692307692,0.0,0.21794871794871795,0.02564102564102564,0.0,0.0,0.038461538461538464
2016-04-30,0.0,0.0,0.0,0.0,0.0,0.2235294117647059,0.17647058823529413,0.2,0.3058823529411765,0.0,0.0,0.0,0.1411764705882353,0.047058823529411764,0.0,0.0,0.0,0.4823529411764706,0.2823529411764706,0.023529411764705882,0.24705882352941178,0.0,0.27058823529411763,0.023529411764705882,0.0,0.0,0.058823529411764705
2016-05-07,0.0,0.0,0.0,0.0,0.0,0.1927710843373494,0.1566265060240964,0.18072289156626506,0.3132530120481928,0.0,0.0,0.0,0.1566265060240964,0.04819277108433735,0.0,0.0,0.0,0.4939759036144578,0.3132530120481928,0.024096385542168676,0.26506024096385544,0.0,0.26506024096385544,0.024096385542168676,0.0,0.0,0.060240963855421686
2016-05-14,0.0,0.0,0.0,0.0,0.0,0.16883116883116883,0.14285714285714285,0.15584415584415584,0.3246753246753247,0.0,0.0,0.03896103896103896,0.15584415584415584,0.05194805194805195,0.0,0.03896103896103896,0.0,0.4675324675324675,0.3116883116883117,0.025974025974025976,0.2857142857142857,0.0,0.2597402597402597,0.025974025974025976,0.0,0.0,0.06493506493506493
2016-05-21,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.10810810810810811,0.12162162162162163,0.4594594594594595,0.0,0.0,0.0,0.14864864864864866,0.05405405405405406,0.0,0.0,0.0,0.5945945945945946,0.44594594594594594,0.02702702702702703,0.28378378378378377,0.0,0.24324324324324326,0.02702702702702703,0.0,0.0,0.06756756756756757
2016-05-28,0.0,0.0,0.0,0.0,0.0,0.125,0.1,0.1125,0.35,0.0,0.0,0.0,0.2625,0.05,0.0,0.0,0.0,0.475,0.45,0.025,0.2625,0.0,0.35,0.025,0.0,0.0,0.0625
2016-06-04,0.0,0.0,0.0,0.0,0.0,0.1625,0.1375,0.1375,0.3375,0.0,0.0,0.0,0.2625,0.0375,0.0,0.0,0.0,0.4625,0.425,0.025,0.25,0.0,0.3125,0.025,0.0,0.0,0.0625
2016-06-11,0.0,0.0,0.0,0.0,0.0,0.1625,0.1375,0.1375,0.35,0.0,0.0,0.0,0.2625,0.05,0.0,0.0,0.0,0.45,0.425,0.05,0.25,0.0,0.3,0.025,0.0,0.0,0.0625
2016-06-18,0.0,0.0,0.0,0.0,0.0,0.1686746987951807,0.13253012048192772,0.13253012048192772,0.3493975903614458,0.0,0.0,0.0,0.21686746987951808,0.04819277108433735,0.0,0.0,0.0,0.4819277108433735,0.37349397590361444,0.04819277108433735,0.26506024096385544,0.0,0.26506024096385544,0.024096385542168676,0.0,0.0,0.060240963855421686
2016-06-25,0.0,0.0,0.0,0.0,0.0,0.20454545454545456,0.13636363636363635,0.13636363636363635,0.3409090909090909,0.0,0.0,0.0,0.20454545454545456,0.045454545454545456,0.0,0.0,0.0,0.4772727272727273,0.3522727272727273,0.045454545454545456,0.26136363636363635,0.0,0.26136363636363635,0.022727272727272728,0.0,0.0,0.045454545454545456
2016-07-02,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.13580246913580246,0.12345679012345678,0.345679012345679,0.0,0.0,0.0,0.20987654320987653,0.04938271604938271,0.0,0.0,0.0,0.49382716049382713,0.35802469135802467,0.037037037037037035,0.2716049382716049,0.0,0.2839506172839506,0.024691358024691357,0.0,0.0,0.04938271604938271
2016-07-09,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.13095238095238096,0.11904761904761904,0.35714285714285715,0.0,0.0,0.0,0.21428571428571427,0.047619047619047616,0.0,0.0,0.0,0.5119047619047619,0.3333333333333333,0.03571428571428571,0.2857142857142857,0.0,0.2857142857142857,0.023809523809523808,0.0,0.0,0.047619047619047616
2016-07-16,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.12941176470588237,0.11764705882352941,0.35294117647058826,0.0,0.0,0.0,0.2235294117647059,0.047058823529411764,0.0,0.0,0.0,0.49411764705882355,0.32941176470588235,0.03529411764705882,0.29411764705882354,0.0,0.2823529411764706,0.047058823529411764,0.0,0.0,0.03529411764705882
2016-07-23,0.0,0.0,0.0,0.0,0.0,0.18823529411764706,0.1411764705882353,0.12941176470588237,0.36470588235294116,0.0,0.0,0.0,0.24705882352941178,0.047058823529411764,0.0,0.0,0.0,0.5058823529411764,0.35294117647058826,0.03529411764705882,0.2823529411764706,0.0,0.2823529411764706,0.03529411764705882,0.0,0.0,0.047058823529411764
2016-07-30,0.0,0.0,0.0,0.0,0.0,0.1927710843373494,0.14457831325301204,0.13253012048192772,0.3493975903614458,0.0,0.0,0.0,0.21686746987951808,0.04819277108433735,0.0,0.0,0.0,0.5060240963855421,0.3253012048192771,0.04819277108433735,0.26506024096385544,0.0,0.26506024096385544,0.03614457831325301,0.0,0.0,0.03614457831325301
2016-08-06,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.11904761904761904,0.10714285714285714,0.36904761904761907,0.0,0.0,0.0,0.21428571428571427,0.047619047619047616,0.0,0.0,0.0,0.5357142857142857,0.34523809523809523,0.047619047619047616,0.27380952380952384,0.0,0.2857142857142857,0.03571428571428571,0.0,0.0,0.03571428571428571
2016-08-13,0.0,0.0,0.0,0.0,0.0,0.1686746987951807,0.12048192771084337,0.10843373493975904,0.3614457831325301,0.0,0.0,0.0,0.2289156626506024,0.024096385542168676,0.0,0.0,0.0,0.5301204819277109,0.3493975903614458,0.04819277108433735,0.25301204819277107,0.0,0.30120481927710846,0.03614457831325301,0.0,0.0,0.04819277108433735
2016-08-20,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.13636363636363635,0.125,0.3409090909090909,0.0,0.0,0.0,0.2159090909090909,0.022727272727272728,0.0,0.0,0.0,0.5,0.3409090909090909,0.045454545454545456,0.23863636363636365,0.0,0.3068181818181818,0.03409090909090909,0.0,0.0,0.045454545454545456
2016-08-27,0.0,0.0,0.0,0.0,0.0,0.19540229885057472,0.14942528735632185,0.13793103448275862,0.3218390804597701,0.0,0.0,0.0,0.21839080459770116,0.022988505747126436,0.0,0.0,0.0,0.4942528735632184,0.3333333333333333,0.022988505747126436,0.2413793103448276,0.0,0.2988505747126437,0.034482758620689655,0.0,0.0,0.04597701149425287
2016-09-03,0.0,0.0,0.0,0.0,0.0,0.18823529411764706,0.1411764705882353,0.12941176470588237,0.3411764705882353,0.0,0.0,0.0,0.2235294117647059,0.011764705882352941,0.0,0.0,0.0,0.5058823529411764,0.3411764705882353,0.011764705882352941,0.24705882352941178,0.0,0.3058823529411765,0.03529411764705882,0.0,0.0,0.058823529411764705
2016-09-10,0.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.12195121951219512,0.10975609756097561,0.32926829268292684,0.0,0.0,0.0,0.24390243902439024,0.012195121951219513,0.0,0.0,0.0,0.5121951219512195,0.36585365853658536,0.012195121951219513,0.24390243902439024,0.0,0.32926829268292684,0.036585365853658534,0.0,0.0,0.06097560975609756
2016-09-17,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.13095238095238096,0.11904761904761904,0.32142857142857145,0.0,0.0,0.0,0.2261904761904762,0.011904761904761904,0.0,0.0,0.0,0.5,0.34523809523809523,0.011904761904761904,0.23809523809523808,0.0,0.32142857142857145,0.03571428571428571,0.0,0.0,0.05952380952380952
2016-09-24,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.11764705882352941,0.12941176470588237,0.3058823529411765,0.0,0.0,0.0,0.23529411764705882,0.011764705882352941,0.0,0.0,0.0,0.4823529411764706,0.35294117647058826,0.011764705882352941,0.2235294117647059,0.0,0.3411764705882353,0.03529411764705882,0.0,0.0,0.058823529411764705
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.16470588235294117,0.11764705882352941,0.12941176470588237,0.3058823529411765,0.0,0.0,0.0,0.24705882352941178,0.011764705882352941,0.0,0.0,0.0,0.4823529411764706,0.36470588235294116,0.011764705882352941,0.21176470588235294,0.0,0.35294117647058826,0.03529411764705882,0.0,0.0,0.058823529411764705
2016-10-08,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.11904761904761904,0.13095238095238096,0.2976190476190476,0.0,0.0,0.0,0.25,0.011904761904761904,0.0,0.0,0.0,0.47619047619047616,0.38095238095238093,0.011904761904761904,0.19047619047619047,0.0,0.36904761904761907,0.023809523809523808,0.0,0.0,0.05952380952380952
2016-10-15,0.0,0.0,0.0,0.0,0.0,0.1744186046511628,0.11627906976744186,0.12790697674418605,0.29069767441860467,0.0,0.0,0.0,0.23255813953488372,0.011627906976744186,0.0,0.0,0.0,0.45348837209302323,0.3488372093023256,0.011627906976744186,0.18604651162790697,0.0,0.36046511627906974,0.023255813953488372,0.0,0.0,0.05813953488372093
2016-10-22,0.0,0.0,0.0,0.0,0.0,0.18072289156626506,0.10843373493975904,0.13253012048192772,0.2891566265060241,0.0,0.0,0.0,0.2289156626506024,0.0,0.0,0.0,0.0,0.46987951807228917,0.3493975903614458,0.03614457831325301,0.20481927710843373,0.0,0.37349397590361444,0.024096385542168676,0.0,0.0,0.060240963855421686
2016-10-29,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.11904761904761904,0.14285714285714285,0.30952380952380953,0.0,0.0,0.0,0.20238095238095238,0.011904761904761904,0.0,0.0,0.0,0.5,0.3333333333333333,0.047619047619047616,0.21428571428571427,0.0,0.3333333333333333,0.023809523809523808,0.0,0.0,0.07142857142857142
2016-11-05,0.0,0.0,0.0,0.0,0.0,0.175,0.125,0.15,0.3,0.0,0.0,0.0,0.2125,0.0,0.0,0.0,0.0,0.4875,0.35,0.05,0.225,0.0,0.3375,0.025,0.0,0.0,0.0625
2016-11-12,0.0,0.0,0.0,0.0,0.0,0.189873417721519,0.13924050632911392,0.1518987341772152,0.25316455696202533,0.0,0.0,0.0,0.21518987341772153,0.0,0.0,0.0,0.0,0.45569620253164556,0.34177215189873417,0.05063291139240506,0.20253164556962025,0.0,0.34177215189873417,0.02531645569620253,0.0,0.0,0.05063291139240506
2016-11-19,0.0,0.0,0.0,0.0,0.0,0.1875,0.1375,0.15,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4625,0.3125,0.05,0.2125,0.0,0.3125,0.025,0.0,0.0,0.05
2016-11-26,0.0,0.0,0.0,0.0,0.0,0.2073170731707317,0.15853658536585366,0.17073170731707318,0.23170731707317074,0.0,0.0,0.0,0.2073170731707317,0.0,0.0,0.0,0.0,0.43902439024390244,0.3170731707317073,0.04878048780487805,0.1951219512195122,0.0,0.3170731707317073,0.024390243902439025,0.0,0.0,0.06097560975609756
2016-12-03,0.0,0.0,0.0,0.0,0.0,0.19753086419753085,0.16049382716049382,0.16049382716049382,0.20987654320987653,0.0,0.0,0.0,0.2345679012345679,0.0,0.0,0.0,0.0,0.43209876543209874,0.345679012345679,0.04938271604938271,0.18518518518518517,0.0,0.345679012345679,0.024691358024691357,0.0,0.0,0.04938271604938271
2016-12-10,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.16666666666666666,0.16666666666666666,0.21794871794871795,0.0,0.0,0.0,0.20512820512820512,0.0,0.0,0.0,0.0,0.4358974358974359,0.3333333333333333,0.05128205128205128,0.19230769230769232,0.0,0.3333333333333333,0.02564102564102564,0.0,0.0,0.0641025641025641
2016-12-17,0.0,0.0,0.0,0.0,0.0,0.18571428571428572,0.15714285714285714,0.15714285714285714,0.21428571428571427,0.0,0.0,0.0,0.18571428571428572,0.0,0.0,0.0,0.0,0.4714285714285714,0.3,0.05714285714285714,0.2,0.0,0.3,0.02857142857142857,0.0,0.0,0.07142857142857142
2016-12-24,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.12345679012345678,0.12345679012345678,0.20987654320987653,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.5555555555555556,0.24691358024691357,0.04938271604938271,0.1728395061728395,0.0,0.2345679012345679,0.024691358024691357,0.0,0.0,0.08641975308641975
2016-12-31,0.05194805194805195,0.0,0.025974025974025976,0.0,0.0,0.15584415584415584,0.12987012987012986,0.12987012987012986,0.2077922077922078,0.0,0.0,0.0,0.16883116883116883,0.0,0.0,0.0,0.0,0.4805194805194805,0.24675324675324675,0.06493506493506493,0.16883116883116883,0.0,0.23376623376623376,0.012987012987012988,0.0,0.0,0.07792207792207792
2017-01-07,0.04938271604938271,0.0,0.024691358024691357,0.0,0.0,0.13580246913580246,0.1111111111111111,0.1111111111111111,0.20987654320987653,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.43209876543209874,0.2962962962962963,0.06172839506172839,0.16049382716049382,0.0,0.2839506172839506,0.012345679012345678,0.0,0.0,0.04938271604938271
2017-01-14,0.0,0.0,0.0,0.0,0.0,0.14473684210526316,0.11842105263157894,0.11842105263157894,0.23684210526315788,0.0,0.0,0.0,0.18421052631578946,0.0,0.0,0.0,0.02631578947368421,0.4342105263157895,0.3026315789473684,0.06578947368421052,0.18421052631578946,0.0,0.27631578947368424,0.013157894736842105,0.0,0.0,0.05263157894736842
2017-01-21,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.13095238095238096,0.14285714285714285,0.20238095238095238,0.0,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.39285714285714285,0.30952380952380953,0.05952380952380952,0.17857142857142858,0.0,0.2976190476190476,0.011904761904761904,0.0,0.0,0.03571428571428571
2017-01-28,0.0,0.0,0.0,0.0,0.0,0.2,0.1411764705882353,0.15294117647058825,0.21176470588235294,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.38823529411764707,0.29411764705882354,0.047058823529411764,0.18823529411764706,0.0,0.3176470588235294,0.011764705882352941,0.0,0.0,0.03529411764705882
2017-02-04,0.0,0.0,0.0,0.0,0.0,0.1927710843373494,0.14457831325301204,0.1566265060240964,0.20481927710843373,0.0,0.0,0.0,0.14457831325301204,0.0,0.0,0.0,0.0,0.39759036144578314,0.27710843373493976,0.04819277108433735,0.18072289156626506,0.0,0.30120481927710846,0.012048192771084338,0.0,0.0,0.03614457831325301
2017-02-11,0.0,0.0,0.0,0.0,0.0,0.20253164556962025,0.16455696202531644,0.17721518987341772,0.20253164556962025,0.0,0.0,0.0,0.1518987341772152,0.0,0.0,0.0,0.0,0.4177215189873418,0.25316455696202533,0.05063291139240506,0.189873417721519,0.0,0.26582278481012656,0.012658227848101266,0.0,0.0,0.05063291139240506
2017-02-18,0.0,0.0,0.0,0.0,0.0,0.2345679012345679,0.20987654320987653,0.20987654320987653,0.2222222222222222,0.0,0.0,0.0,0.13580246913580246,0.0,0.0,0.0,0.0,0.4444444444444444,0.2345679012345679,0.04938271604938271,0.20987654320987653,0.0,0.2345679012345679,0.012345679012345678,0.0,0.0,0.04938271604938271
2017-02-25,0.0,0.0,0.0,0.0,0.0,0.2077922077922078,0.16883116883116883,0.18181818181818182,0.19480519480519481,0.0,0.0,0.0,0.15584415584415584,0.0,0.0,0.0,0.0,0.42857142857142855,0.2727272727272727,0.03896103896103896,0.18181818181818182,0.0,0.2727272727272727,0.012987012987012988,0.0,0.0,0.03896103896103896
2017-03-04,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,0.17567567567567569,0.1891891891891892,0.1891891891891892,0.0,0.0,0.0,0.17567567567567569,0.0,0.0,0.0,0.0,0.40540540540540543,0.28378378378378377,0.02702702702702703,0.1891891891891892,0.0,0.28378378378378377,0.013513513513513514,0.0,0.0,0.04054054054054054
2017-03-11,0.0,0.0,0.0,0.0,0.0,0.24358974358974358,0.1794871794871795,0.19230769230769232,0.19230769230769232,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.4230769230769231,0.2564102564102564,0.038461538461538464,0.1794871794871795,0.0,0.2564102564102564,0.01282051282051282,0.0,0.0,0.038461538461538464
2017-03-18,0.0,0.0,0.0,0.0,0.0,0.225,0.1625,0.175,0.1625,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.4125,0.275,0.025,0.1625,0.0,0.275,0.0125,0.0,0.0,0.0375
2017-03-25,0.0,0.0,0.0,0.0,0.0,0.225,0.1625,0.175,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4125,0.2875,0.025,0.175,0.0,0.2875,0.0125,0.0,0.0,0.0125
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.20253164556962025,0.13924050632911392,0.1518987341772152,0.189873417721519,0.0,0.0,0.0,0.189873417721519,0.0,0.0,0.0,0.0,0.45569620253164556,0.26582278481012656,0.02531645569620253,0.16455696202531644,0.0,0.27848101265822783,0.012658227848101266,0.0,0.0,0.012658227848101266
2017-04-08,0.0,0.0,0.0,0.0,0.0,0.1791044776119403,0.11940298507462686,0.13432835820895522,0.208955223880597,0.0,0.0,0.0,0.1791044776119403,0.014925373134328358,0.0,0.0,0.0,0.4626865671641791,0.26865671641791045,0.029850746268656716,0.19402985074626866,0.0,0.2835820895522388,0.0,0.0,0.0,0.014925373134328358
2017-04-15,0.0,0.0,0.0,0.0,0.0,0.13580246913580246,0.08641975308641975,0.09876543209876543,0.1728395061728395,0.0,0.0,0.0,0.37037037037037035,0.012345679012345678,0.0,0.0,0.0,0.37037037037037035,0.4444444444444444,0.024691358024691357,0.16049382716049382,0.0,0.4444444444444444,0.0,0.0,0.0,0.024691358024691357
2017-04-22,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.12162162162162163,0.13513513513513514,0.17567567567567569,0.0,0.0,0.0,0.2702702702702703,0.013513513513513514,0.0,0.0,0.0,0.3918918918918919,0.36486486486486486,0.02702702702702703,0.16216216216216217,0.0,0.36486486486486486,0.0,0.0,0.0,0.02702702702702703
2017-04-29,0.0,0.0,0.0,0.0,0.0,0.2125,0.1375,0.15,0.1625,0.0,0.0,0.0,0.2625,0.0125,0.0,0.0,0.0,0.375,0.35,0.025,0.15,0.0,0.375,0.0,0.0,0.0,0.025
2017-05-06,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.1388888888888889,0.1388888888888889,0.18055555555555555,0.0,0.0,0.0,0.2222222222222222,0.013888888888888888,0.0,0.0,0.0,0.375,0.3611111111111111,0.013888888888888888,0.16666666666666666,0.0,0.375,0.0,0.0,0.0,0.027777777777777776
2017-05-13,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.08641975308641975,0.08641975308641975,0.1728395061728395,0.0,0.0,0.0,0.3333333333333333,0.012345679012345678,0.0,0.0,0.0,0.345679012345679,0.32098765432098764,0.012345679012345678,0.14814814814814814,0.0,0.4691358024691358,0.0,0.0,0.0,0.024691358024691357
2017-05-20,0.0,0.0,0.0,0.0,0.0,0.18666666666666668,0.10666666666666667,0.12,0.17333333333333334,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.37333333333333335,0.32,0.013333333333333334,0.14666666666666667,0.0,0.4,0.0,0.0,0.0,0.02666666666666667
2017-05-27,0.0,0.0,0.0,0.0,0.0,0.2,0.125,0.1375,0.1875,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.3,0.025,0.15,0.0,0.375,0.0,0.0,0.0,0.025
2017-06-03,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.13580246913580246,0.14814814814814814,0.18518518518518517,0.0,0.0,0.0,0.2345679012345679,0.0,0.0,0.0,0.0,0.37037037037037035,0.2962962962962963,0.024691358024691357,0.16049382716049382,0.0,0.37037037037037035,0.0,0.0,0.0,0.024691358024691357
