weekid,adultstandards,albumrock,brillbuildingpop,bubblegumpop,classicrock,contemporarycountry,country,countryroad,dancepop,disco,folkrock,funk,hiphop,hippop,mellowgold,motown,newwavepop,pop,poprap,poprock,post,quietstorm,rap,rock,softrock,soul,urbancontemporary
2017-06-10,0.0,0.0,0.0,0.0,0.0,0.21794871794871795,0.14102564102564102,0.15384615384615385,0.21794871794871795,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.38461538461538464,0.24358974358974358,0.02564102564102564,0.19230769230769232,0.0,0.3333333333333333,0.0,0.0,0.0,0.01282051282051282
2017-06-17,0.0,0.0,0.0,0.0,0.0,0.2,0.125,0.1375,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4125,0.25,0.025,0.2375,0.0,0.325,0.0,0.0,0.0,0.0125
2017-06-24,0.0,0.0,0.0,0.0,0.0,0.2073170731707317,0.12195121951219512,0.14634146341463414,0.24390243902439024,0.0,0.0,0.0,0.2073170731707317,0.0,0.0,0.0,0.0,0.3902439024390244,0.2682926829268293,0.024390243902439025,0.23170731707317074,0.0,0.34146341463414637,0.0,0.0,0.0,0.012195121951219513
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.2289156626506024,0.14457831325301204,0.1686746987951807,0.2891566265060241,0.0,0.0,0.0,0.1927710843373494,0.0,0.0,0.0,0.0,0.40963855421686746,0.25301204819277107,0.024096385542168676,0.2289156626506024,0.0,0.3253012048192771,0.0,0.0,0.0,0.024096385542168676
2017-07-08,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.14285714285714285,0.17857142857142858,0.27380952380952384,0.0,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.4166666666666667,0.25,0.023809523809523808,0.20238095238095238,0.0,0.32142857142857145,0.0,0.0,0.0,0.023809523809523808
2017-07-15,0.0,0.0,0.0,0.0,0.0,0.24096385542168675,0.14457831325301204,0.18072289156626506,0.26506024096385544,0.0,0.0,0.0,0.1927710843373494,0.0,0.0,0.0,0.0,0.40963855421686746,0.25301204819277107,0.024096385542168676,0.1927710843373494,0.0,0.3373493975903614,0.0,0.0,0.0,0.012048192771084338
2017-07-22,0.0,0.0,0.0,0.0,0.0,0.2261904761904762,0.13095238095238096,0.16666666666666666,0.25,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.39285714285714285,0.2619047619047619,0.011904761904761904,0.19047619047619047,0.0,0.35714285714285715,0.0,0.0,0.0,0.011904761904761904
2017-07-29,0.0,0.0,0.0,0.0,0.0,0.22077922077922077,0.12987012987012986,0.16883116883116883,0.24675324675324675,0.0,0.0,0.0,0.2077922077922078,0.0,0.0,0.0,0.0,0.37662337662337664,0.24675324675324675,0.012987012987012988,0.18181818181818182,0.0,0.33766233766233766,0.0,0.0,0.0,0.012987012987012988
2017-08-05,0.0,0.0,0.0,0.0,0.0,0.2,0.125,0.1625,0.2625,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3875,0.275,0.0125,0.2125,0.0,0.3375,0.0,0.0,0.0,0.0125
2017-08-12,0.0,0.0,0.0,0.0,0.0,0.20253164556962025,0.12658227848101267,0.16455696202531644,0.26582278481012656,0.0,0.0,0.0,0.20253164556962025,0.0,0.0,0.0,0.0,0.4050632911392405,0.25316455696202533,0.012658227848101266,0.21518987341772153,0.0,0.31645569620253167,0.0,0.0,0.0,0.012658227848101266
2017-08-19,0.0,0.0,0.0,0.0,0.0,0.1875,0.1125,0.15,0.275,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.25,0.0125,0.25,0.0,0.3125,0.0,0.0,0.0,0.0125
2017-08-26,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.12941176470588237,0.16470588235294117,0.24705882352941178,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.4,0.23529411764705882,0.011764705882352941,0.2235294117647059,0.0,0.29411764705882354,0.0,0.0,0.0,0.0
2017-09-02,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.12941176470588237,0.16470588235294117,0.23529411764705882,0.0,0.0,0.0,0.18823529411764706,0.0,0.0,0.0,0.0,0.38823529411764707,0.24705882352941178,0.011764705882352941,0.2,0.0,0.3176470588235294,0.0,0.0,0.0,0.0
2017-09-09,0.0,0.0,0.0,0.0,0.0,0.24390243902439024,0.13414634146341464,0.17073170731707318,0.21951219512195122,0.0,0.0,0.0,0.18292682926829268,0.0,0.0,0.0,0.0,0.3902439024390244,0.23170731707317074,0.012195121951219513,0.18292682926829268,0.0,0.3048780487804878,0.0,0.0,0.0,0.0
2017-09-16,0.0,0.0,0.0,0.0,0.0,0.2112676056338028,0.11267605633802817,0.15492957746478872,0.22535211267605634,0.0,0.0,0.0,0.22535211267605634,0.0,0.0,0.0,0.0,0.38028169014084506,0.2535211267605634,0.014084507042253521,0.22535211267605634,0.0,0.323943661971831,0.0,0.0,0.0,0.0
2017-09-23,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.10975609756097561,0.14634146341463414,0.2073170731707317,0.0,0.0,0.0,0.18292682926829268,0.0,0.0,0.0,0.0,0.35365853658536583,0.2926829268292683,0.024390243902439025,0.2073170731707317,0.0,0.34146341463414637,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0,0.0,0.21686746987951808,0.10843373493975904,0.14457831325301204,0.21686746987951808,0.0,0.0,0.0,0.18072289156626506,0.0,0.0,0.0,0.0,0.3855421686746988,0.2891566265060241,0.024096385542168676,0.20481927710843373,0.0,0.3253012048192771,0.0,0.0,0.0,0.0
2017-10-07,0.0,0.0,0.0,0.0,0.0,0.21839080459770116,0.11494252873563218,0.14942528735632185,0.22988505747126436,0.0,0.0,0.0,0.1839080459770115,0.0,0.0,0.0,0.0,0.39080459770114945,0.2988505747126437,0.034482758620689655,0.20689655172413793,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
2017-10-14,0.0,0.0,0.0,0.0,0.0,0.21176470588235294,0.11764705882352941,0.15294117647058825,0.23529411764705882,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.4117647058823529,0.2823529411764706,0.03529411764705882,0.21176470588235294,0.0,0.32941176470588235,0.0,0.0,0.0,0.0
2017-10-21,0.0,0.0,0.0,0.0,0.0,0.25,0.14285714285714285,0.17857142857142858,0.19047619047619047,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.36904761904761907,0.27380952380952384,0.03571428571428571,0.17857142857142858,0.0,0.34523809523809523,0.0,0.0,0.0,0.0
2017-10-28,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.1411764705882353,0.16470588235294117,0.21176470588235294,0.0,0.0,0.0,0.1411764705882353,0.0,0.0,0.0,0.0,0.38823529411764707,0.2823529411764706,0.03529411764705882,0.18823529411764706,0.0,0.3411764705882353,0.0,0.0,0.0,0.011764705882352941
2017-11-04,0.0,0.0,0.0,0.0,0.0,0.24691358024691357,0.14814814814814814,0.1728395061728395,0.24691358024691357,0.0,0.0,0.0,0.13580246913580246,0.0,0.0,0.0,0.0,0.4074074074074074,0.2716049382716049,0.037037037037037035,0.2222222222222222,0.0,0.32098765432098764,0.0,0.0,0.0,0.012345679012345678
2017-11-11,0.0,0.0,0.0,0.0,0.0,0.23376623376623376,0.12987012987012986,0.15584415584415584,0.23376623376623376,0.0,0.0,0.0,0.15584415584415584,0.0,0.0,0.0,0.0,0.38961038961038963,0.2987012987012987,0.03896103896103896,0.2077922077922078,0.0,0.35064935064935066,0.0,0.0,0.0,0.012987012987012988
2017-11-18,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.1282051282051282,0.15384615384615385,0.2564102564102564,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.41025641025641024,0.28205128205128205,0.05128205128205128,0.24358974358974358,0.0,0.3333333333333333,0.0,0.0,0.0,0.01282051282051282
2017-11-25,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.125,0.2375,0.0,0.0,0.0,0.1625,0.0,0.0,0.0,0.0,0.375,0.3375,0.0375,0.225,0.0,0.375,0.0,0.0,0.0,0.0125
2017-12-02,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.125,0.225,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.375,0.3125,0.0375,0.2375,0.0,0.3625,0.0,0.0,0.0,0.0125
2017-12-09,0.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.08974358974358974,0.10256410256410256,0.24358974358974358,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.358974358974359,0.3076923076923077,0.05128205128205128,0.23076923076923078,0.0,0.3717948717948718,0.0,0.0,0.0,0.01282051282051282
2017-12-16,0.0,0.0,0.0,0.0,0.0,0.1625,0.0875,0.1125,0.25,0.0,0.0,0.0,0.1625,0.0,0.0,0.0,0.0,0.375,0.2875,0.05,0.25,0.0,0.35,0.0,0.0,0.0,0.025
2017-12-23,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08974358974358974,0.10256410256410256,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.3717948717948718,0.28205128205128205,0.038461538461538464,0.20512820512820512,0.0,0.3333333333333333,0.0,0.0,0.0,0.05128205128205128
2017-12-30,0.09302325581395349,0.0,0.046511627906976744,0.0,0.0,0.1744186046511628,0.10465116279069768,0.11627906976744186,0.20930232558139536,0.0,0.0,0.0,0.1511627906976744,0.0,0.023255813953488372,0.0,0.0,0.3372093023255814,0.2558139534883721,0.023255813953488372,0.18604651162790697,0.0,0.27906976744186046,0.0,0.0,0.0,0.046511627906976744
2018-01-06,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.15476190476190477,0.09523809523809523,0.10714285714285714,0.20238095238095238,0.0,0.0,0.0,0.16666666666666666,0.0,0.023809523809523808,0.0,0.0,0.3333333333333333,0.25,0.023809523809523808,0.17857142857142858,0.0,0.2976190476190476,0.0,0.0,0.0,0.03571428571428571
2018-01-13,0.0,0.0,0.0,0.0,0.0,0.17333333333333334,0.10666666666666667,0.12,0.2,0.0,0.0,0.0,0.17333333333333334,0.0,0.0,0.0,0.0,0.36,0.30666666666666664,0.02666666666666667,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.013333333333333334
2018-01-20,0.0,0.0,0.0,0.0,0.0,0.1927710843373494,0.0963855421686747,0.12048192771084337,0.1686746987951807,0.0,0.0,0.0,0.1566265060240964,0.0,0.0,0.0,0.0,0.3132530120481928,0.27710843373493976,0.03614457831325301,0.1686746987951807,0.0,0.30120481927710846,0.0,0.0,0.0,0.012048192771084338
2018-01-27,0.0,0.0,0.0,0.0,0.0,0.18292682926829268,0.0975609756097561,0.12195121951219512,0.18292682926829268,0.0,0.0,0.0,0.15853658536585366,0.0,0.0,0.0,0.0,0.3048780487804878,0.2682926829268293,0.024390243902439025,0.17073170731707318,0.0,0.3170731707317073,0.0,0.0,0.0,0.012195121951219513
2018-02-03,0.0,0.0,0.0,0.0,0.0,0.18072289156626506,0.0963855421686747,0.12048192771084337,0.1927710843373494,0.0,0.0,0.0,0.1686746987951807,0.0,0.0,0.0,0.0,0.30120481927710846,0.26506024096385544,0.024096385542168676,0.18072289156626506,0.0,0.3132530120481928,0.0,0.0,0.0,0.012048192771084338
2018-02-10,0.0,0.0,0.0,0.0,0.0,0.16,0.08,0.10666666666666667,0.18666666666666668,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3333333333333333,0.26666666666666666,0.02666666666666667,0.2,0.0,0.32,0.0,0.0,0.0,0.013333333333333334
2018-02-17,0.0,0.0,0.0,0.0,0.0,0.16455696202531644,0.08860759493670886,0.11392405063291139,0.20253164556962025,0.0,0.0,0.0,0.20253164556962025,0.0,0.0,0.0,0.0,0.3291139240506329,0.31645569620253167,0.02531645569620253,0.20253164556962025,0.0,0.35443037974683544,0.0,0.0,0.0,0.012658227848101266
2018-02-24,0.0,0.0,0.0,0.0,0.0,0.16455696202531644,0.08860759493670886,0.11392405063291139,0.20253164556962025,0.0,0.0,0.0,0.20253164556962025,0.0,0.0,0.0,0.0,0.3291139240506329,0.3037974683544304,0.02531645569620253,0.20253164556962025,0.0,0.34177215189873417,0.0,0.0,0.0,0.012658227848101266
2018-03-03,0.0,0.0,0.0,0.0,0.0,0.1511627906976744,0.08139534883720931,0.10465116279069768,0.18604651162790697,0.0,0.0,0.0,0.20930232558139536,0.0,0.0,0.0,0.0,0.32558139534883723,0.3023255813953488,0.023255813953488372,0.18604651162790697,0.0,0.36046511627906974,0.0,0.0,0.0,0.023255813953488372
2018-03-10,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.08641975308641975,0.1111111111111111,0.1728395061728395,0.0,0.0,0.0,0.19753086419753085,0.0,0.0,0.0,0.0,0.30864197530864196,0.30864197530864196,0.012345679012345678,0.16049382716049382,0.0,0.345679012345679,0.0,0.0,0.0,0.024691358024691357
2018-03-17,0.0,0.0,0.0,0.0,0.0,0.13924050632911392,0.0759493670886076,0.10126582278481013,0.17721518987341772,0.0,0.0,0.0,0.189873417721519,0.0,0.0,0.0,0.0,0.3037974683544304,0.2911392405063291,0.012658227848101266,0.16455696202531644,0.0,0.35443037974683544,0.0,0.0,0.0,0.02531645569620253
2018-03-24,0.0,0.0,0.0,0.0,0.0,0.15,0.0875,0.1125,0.2,0.0,0.0,0.0,0.225,0.0125,0.0,0.0,0.0,0.3125,0.3125,0.0125,0.175,0.0,0.375,0.0,0.0,0.0,0.025
2018-03-31,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.08974358974358974,0.11538461538461539,0.19230769230769232,0.0,0.0,0.0,0.20512820512820512,0.01282051282051282,0.0,0.0,0.0,0.32051282051282054,0.3076923076923077,0.01282051282051282,0.19230769230769232,0.0,0.358974358974359,0.0,0.0,0.0,0.02564102564102564
2018-04-07,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.10714285714285714,0.16666666666666666,0.0,0.0,0.0,0.19047619047619047,0.011904761904761904,0.0,0.0,0.0,0.30952380952380953,0.30952380952380953,0.011904761904761904,0.17857142857142858,0.0,0.35714285714285715,0.011904761904761904,0.0,0.0,0.023809523809523808
2018-04-14,0.0,0.0,0.0,0.0,0.0,0.20253164556962025,0.10126582278481013,0.13924050632911392,0.17721518987341772,0.0,0.0,0.0,0.16455696202531644,0.012658227848101266,0.0,0.0,0.0,0.34177215189873417,0.27848101265822783,0.012658227848101266,0.189873417721519,0.0,0.2911392405063291,0.012658227848101266,0.0,0.0,0.02531645569620253
2018-04-21,0.0,0.0,0.0,0.0,0.0,0.19480519480519481,0.1038961038961039,0.12987012987012986,0.15584415584415584,0.0,0.0,0.0,0.16883116883116883,0.012987012987012988,0.0,0.0,0.0,0.38961038961038963,0.3116883116883117,0.012987012987012988,0.19480519480519481,0.0,0.3116883116883117,0.012987012987012988,0.0,0.0,0.03896103896103896
2018-04-28,0.0,0.0,0.0,0.0,0.0,0.16470588235294117,0.10588235294117647,0.12941176470588237,0.15294117647058825,0.0,0.0,0.0,0.15294117647058825,0.023529411764705882,0.0,0.0,0.0,0.4588235294117647,0.4117647058823529,0.011764705882352941,0.17647058823529413,0.0,0.4117647058823529,0.011764705882352941,0.0,0.0,0.03529411764705882
2018-05-05,0.0,0.0,0.0,0.0,0.0,0.17567567567567569,0.10810810810810811,0.12162162162162163,0.14864864864864866,0.0,0.0,0.0,0.14864864864864866,0.02702702702702703,0.0,0.0,0.0,0.4189189189189189,0.36486486486486486,0.013513513513513514,0.1891891891891892,0.0,0.3783783783783784,0.013513513513513514,0.0,0.0,0.04054054054054054
2018-05-12,0.0,0.0,0.0,0.0,0.0,0.16216216216216217,0.0945945945945946,0.12162162162162163,0.14864864864864866,0.0,0.0,0.0,0.20270270270270271,0.013513513513513514,0.0,0.0,0.0,0.40540540540540543,0.3783783783783784,0.013513513513513514,0.1891891891891892,0.0,0.3918918918918919,0.013513513513513514,0.0,0.0,0.04054054054054054
2018-05-19,0.0,0.0,0.0,0.0,0.0,0.15476190476190477,0.09523809523809523,0.10714285714285714,0.13095238095238096,0.0,0.0,0.0,0.14285714285714285,0.011904761904761904,0.0,0.0,0.0,0.34523809523809523,0.2857142857142857,0.011904761904761904,0.16666666666666666,0.0,0.4523809523809524,0.011904761904761904,0.0,0.0,0.03571428571428571
2018-05-26,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.10714285714285714,0.14285714285714285,0.0,0.0,0.0,0.15476190476190477,0.011904761904761904,0.0,0.0,0.0,0.34523809523809523,0.2857142857142857,0.011904761904761904,0.17857142857142858,0.0,0.42857142857142855,0.011904761904761904,0.0,0.0,0.03571428571428571
2018-06-02,0.0,0.0,0.0,0.0,0.0,0.1566265060240964,0.08433734939759036,0.10843373493975904,0.14457831325301204,0.0,0.0,0.0,0.1686746987951807,0.012048192771084338,0.0,0.0,0.0,0.3493975903614458,0.26506024096385544,0.012048192771084338,0.1927710843373494,0.0,0.3855421686746988,0.012048192771084338,0.0,0.0,0.024096385542168676
2018-06-09,0.0,0.0,0.0,0.0,0.0,0.16455696202531644,0.08860759493670886,0.11392405063291139,0.13924050632911392,0.0,0.0,0.0,0.16455696202531644,0.0,0.0,0.0,0.0,0.35443037974683544,0.26582278481012656,0.012658227848101266,0.189873417721519,0.0,0.379746835443038,0.012658227848101266,0.0,0.0,0.02531645569620253
2018-06-16,0.0,0.0,0.0,0.0,0.0,0.1518987341772152,0.0759493670886076,0.10126582278481013,0.13924050632911392,0.0,0.0,0.0,0.1518987341772152,0.0,0.0,0.0,0.0,0.379746835443038,0.27848101265822783,0.02531645569620253,0.189873417721519,0.0,0.3670886075949367,0.012658227848101266,0.0,0.0,0.02531645569620253
2018-06-23,0.0,0.0,0.0,0.0,0.0,0.18292682926829268,0.08536585365853659,0.10975609756097561,0.14634146341463414,0.0,0.0,0.0,0.12195121951219512,0.0,0.0,0.0,0.0,0.3780487804878049,0.2682926829268293,0.024390243902439025,0.1951219512195122,0.0,0.34146341463414637,0.012195121951219513,0.0,0.0,0.024390243902439025
2018-06-30,0.0,0.0,0.0,0.0,0.0,0.14864864864864866,0.08108108108108109,0.10810810810810811,0.16216216216216217,0.0,0.0,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,0.40540540540540543,0.2702702702702703,0.02702702702702703,0.21621621621621623,0.0,0.33783783783783783,0.013513513513513514,0.0,0.0,0.02702702702702703
2018-07-07,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.08641975308641975,0.1111111111111111,0.14814814814814814,0.0,0.0,0.0,0.12345679012345678,0.012345679012345678,0.0,0.0,0.0,0.38271604938271603,0.2716049382716049,0.024691358024691357,0.19753086419753085,0.0,0.3333333333333333,0.012345679012345678,0.0,0.0,0.037037037037037035
2018-07-14,0.0,0.0,0.0,0.0,0.0,0.20967741935483872,0.12903225806451613,0.14516129032258066,0.16129032258064516,0.0,0.0,0.0,0.11290322580645161,0.016129032258064516,0.0,0.0,0.0,0.3548387096774194,0.24193548387096775,0.016129032258064516,0.22580645161290322,0.0,0.3225806451612903,0.016129032258064516,0.0,0.0,0.016129032258064516
2018-07-21,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.11842105263157894,0.13157894736842105,0.15789473684210525,0.0,0.0,0.0,0.27631578947368424,0.013157894736842105,0.0,0.0,0.0,0.3157894736842105,0.3815789473684211,0.013157894736842105,0.18421052631578946,0.0,0.42105263157894735,0.013157894736842105,0.0,0.0,0.013157894736842105
2018-07-28,0.0,0.0,0.0,0.0,0.0,0.21333333333333335,0.12,0.13333333333333333,0.18666666666666668,0.0,0.0,0.0,0.2,0.013333333333333334,0.0,0.0,0.0,0.36,0.30666666666666664,0.013333333333333334,0.2,0.0,0.3466666666666667,0.02666666666666667,0.0,0.0,0.013333333333333334
2018-08-04,0.0,0.0,0.0,0.0,0.0,0.21686746987951808,0.12048192771084337,0.14457831325301204,0.18072289156626506,0.0,0.0,0.0,0.1566265060240964,0.012048192771084338,0.0,0.0,0.0,0.3614457831325301,0.27710843373493976,0.012048192771084338,0.1927710843373494,0.0,0.30120481927710846,0.024096385542168676,0.0,0.0,0.012048192771084338
2018-08-11,0.0,0.0,0.0,0.0,0.0,0.21348314606741572,0.11235955056179775,0.14606741573033707,0.19101123595505617,0.0,0.0,0.0,0.1348314606741573,0.02247191011235955,0.0,0.0,0.0,0.3707865168539326,0.25842696629213485,0.02247191011235955,0.21348314606741572,0.0,0.2808988764044944,0.02247191011235955,0.0,0.0,0.02247191011235955
2018-08-18,0.0,0.0,0.0,0.0,0.0,0.22077922077922077,0.11688311688311688,0.15584415584415584,0.22077922077922077,0.0,0.0,0.0,0.15584415584415584,0.025974025974025976,0.0,0.0,0.0,0.4025974025974026,0.2597402597402597,0.025974025974025976,0.23376623376623376,0.0,0.2727272727272727,0.012987012987012988,0.0,0.0,0.025974025974025976
2018-08-25,0.0,0.0,0.0,0.0,0.0,0.16470588235294117,0.08235294117647059,0.10588235294117647,0.2,0.0,0.0,0.0,0.11764705882352941,0.023529411764705882,0.0,0.0,0.0,0.38823529411764707,0.2235294117647059,0.023529411764705882,0.23529411764705882,0.0,0.35294117647058826,0.011764705882352941,0.0,0.0,0.03529411764705882
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.189873417721519,0.08860759493670886,0.11392405063291139,0.22784810126582278,0.0,0.0,0.0,0.12658227848101267,0.0379746835443038,0.0,0.0,0.0,0.43037974683544306,0.25316455696202533,0.02531645569620253,0.26582278481012656,0.0,0.3037974683544304,0.012658227848101266,0.0,0.0,0.0379746835443038
2018-09-08,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.09411764705882353,0.12941176470588237,0.2,0.0,0.0,0.0,0.11764705882352941,0.023529411764705882,0.0,0.0,0.0,0.4,0.24705882352941178,0.023529411764705882,0.21176470588235294,0.0,0.29411764705882354,0.011764705882352941,0.0,0.0,0.03529411764705882
2018-09-15,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.08333333333333333,0.13095238095238096,0.16666666666666666,0.0,0.0,0.0,0.14285714285714285,0.011904761904761904,0.0,0.0,0.0,0.38095238095238093,0.2619047619047619,0.023809523809523808,0.20238095238095238,0.0,0.30952380952380953,0.011904761904761904,0.0,0.0,0.023809523809523808
2018-09-22,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,0.08888888888888889,0.13333333333333333,0.15555555555555556,0.0,0.0,0.0,0.2,0.011111111111111112,0.0,0.0,0.0,0.35555555555555557,0.23333333333333334,0.022222222222222223,0.18888888888888888,0.0,0.34444444444444444,0.011111111111111112,0.0,0.0,0.022222222222222223
